scenario,N,rep,true_b1,true_b2,true_ind,cs_b1,cs_b1_cov,cs_b2,cs_b2_cov,lv_b1,lv_b1_cov,lv_b2,lv_b2_cov,lap_b1,lap_b1_cov,lap_b2,lap_b2_cov,lap_ind,lap_ind_sig
small,50,0,0.3,0.3,0.09,-0.22275542322094455,0,0.094821026977593,1,0.03597773022609568,1,0.1645413690130718,1,,,,,,
small,50,1,0.3,0.3,0.09,0.3101336809239441,1,0.3047795855602184,1,0.2748705130574899,1,0.37955900768672374,1,,,,,,
small,50,2,0.3,0.3,0.09,0.5408893722289284,0,0.28149657572089537,1,0.48947841818843274,1,0.33610602130029515,1,,,,,,
small,50,3,0.3,0.3,0.09,0.16957880374983583,1,0.36222316580137476,1,0.17874428661007025,1,0.2443847235288004,1,,,,,,
small,50,4,0.3,0.3,0.09,0.10903406553250225,1,0.2184588751331762,1,0.11344244965809303,1,0.32865261274229235,1,,,,,,
small,50,5,0.3,0.3,0.09,0.3113031124512527,1,0.25401313638364176,1,0.36120634100692584,1,0.22109660663711211,1,,,,,,
small,50,6,0.3,0.3,0.09,0.18337215913521598,1,0.2648845805616936,1,0.22209342536248036,1,0.14869586054571712,1,,,,,,
small,50,7,0.3,0.3,0.09,0.2997030200730632,1,0.14386004280557227,1,0.48348301476409894,1,0.2043288452599284,1,,,,,,
small,50,8,0.3,0.3,0.09,0.3739484230169161,1,0.3527763793007063,1,0.34593861281827887,1,0.4849024265519692,1,,,,,,
small,50,9,0.3,0.3,0.09,0.26258432013529,1,0.37432254424655714,1,0.3832907398574277,1,0.3680194340167138,1,,,,,,
small,50,10,0.3,0.3,0.09,0.027287835330338777,1,0.47003964787413244,1,0.31396311793325016,1,0.3411322725002758,1,,,,,,
small,50,11,0.3,0.3,0.09,0.15878686784441598,1,0.6308941242757727,0,0.20434367076381973,1,0.602621301617324,1,,,,,,
small,50,12,0.3,0.3,0.09,0.2011715915773761,1,0.3009060994426275,1,0.30014365664803544,1,0.22464709897655877,1,,,,,,
small,50,13,0.3,0.3,0.09,0.39466256260366533,1,0.054804126454971486,1,0.4039529820630295,1,0.09596526752364484,1,,,,,,
small,50,14,0.3,0.3,0.09,0.3015537060001907,1,0.3776430286878993,1,0.3797421281766836,1,0.5237714517303362,1,,,,,,
small,50,15,0.3,0.3,0.09,0.2137920423939502,1,0.4407530117352798,1,0.3717939987260672,1,0.28668297123338987,1,,,,,,
small,50,16,0.3,0.3,0.09,0.02941670048626665,0,0.21125526333356498,1,-0.017381478089133207,0,0.36624170339647216,1,,,,,,
small,50,17,0.3,0.3,0.09,0.29850929821941474,1,0.3281942288073541,1,0.40089575869233074,1,0.37305925184440175,1,,,,,,
small,50,18,0.3,0.3,0.09,-0.17113539726605081,0,0.2672810860923343,1,-0.011616288689122373,0,0.46456458883166885,1,,,,,,
small,50,19,0.3,0.3,0.09,0.39347562656681784,1,0.40808493154407477,1,0.5318435564170886,1,0.24256372002250792,1,,,,,,
small,50,20,0.3,0.3,0.09,0.2574481131500833,1,0.43200019366635495,1,0.28235654748519734,1,0.5864997566220941,0,,,,,,
small,50,21,0.3,0.3,0.09,0.5148467114451021,1,0.1746649940712725,1,0.5732246857165887,1,0.2827970833977273,1,,,,,,
small,50,22,0.3,0.3,0.09,0.10864170233069162,1,0.3107878393836453,1,0.11103756378415003,1,0.32021793259516057,1,,,,,,
small,50,23,0.3,0.3,0.09,0.594917847848183,1,0.4193640534925676,1,0.622884697277514,0,0.3703207805431648,1,,,,,,
small,50,24,0.3,0.3,0.09,-0.024082869002653867,1,0.1831338596760427,1,0.18546840558666197,1,0.34799614413039176,1,,,,,,
small,50,25,0.3,0.3,0.09,0.2521013366709084,1,0.42341144551237836,1,0.2071220779496809,1,0.3567818504777987,1,,,,,,
small,50,26,0.3,0.3,0.09,0.22934156714020593,1,0.14338141773500465,1,0.28621274420921516,1,0.22973733231093094,1,,,,,,
small,50,27,0.3,0.3,0.09,0.2656906067748906,1,0.2131988835279328,1,0.44777054175792536,1,0.29601610176216453,1,,,,,,
small,50,28,0.3,0.3,0.09,0.2974072983598616,1,0.028903803234693527,1,0.2938579604233229,1,-0.03244231590027425,0,,,,,,
small,50,29,0.3,0.3,0.09,0.021929757340754558,1,0.20694830366297542,1,-0.0038574789029566237,0,0.07705198287116947,1,,,,,,
small,50,30,0.3,0.3,0.09,0.4266272762896388,1,0.04500260911579055,1,0.5160747918148032,1,0.19948896991592377,1,,,,,,
small,50,31,0.3,0.3,0.09,-0.06850858967942097,1,0.068882956341678,1,0.16991999340192185,1,0.2671204913542336,1,,,,,,
small,50,32,0.3,0.3,0.09,0.1610009111936639,1,0.20903886694328713,1,0.2973460273792968,1,0.19898096509097862,1,,,,,,
small,50,33,0.3,0.3,0.09,0.1975166055053454,1,0.004175896882795056,1,0.1141350609465325,1,-0.031093216602295422,1,,,,,,
small,50,34,0.3,0.3,0.09,0.2515429524603835,1,0.4438592159755755,1,0.4383542003834673,1,0.3628425539766407,1,,,,,,
small,50,35,0.3,0.3,0.09,0.23732978434361576,1,0.3584554350927222,1,0.4113351255748219,1,0.4110692856703484,1,,,,,,
small,50,36,0.3,0.3,0.09,0.5305028665028666,1,-0.006422500800949112,1,0.42885712842923795,1,0.16978693967094685,1,,,,,,
small,50,37,0.3,0.3,0.09,0.45042417348160707,1,0.26468915712434915,1,0.49721431732692,1,0.18673243705697715,1,,,,,,
small,50,38,0.3,0.3,0.09,0.38895011495091664,1,0.09496357926273828,1,0.33997967297172305,1,0.1458267914233478,1,,,,,,
small,50,39,0.3,0.3,0.09,0.29642738786261696,1,0.21193715280014105,1,0.2802674763364002,1,0.3020067208234313,1,,,,,,
small,50,40,0.3,0.3,0.09,0.09100904322692008,1,-0.1630465280321566,0,0.09367640987909465,1,-0.05950974075360292,0,,,,,,
small,50,41,0.3,0.3,0.09,0.10504476431125835,1,0.09891471012996314,1,0.2834679483398075,1,0.14957142854565142,1,,,,,,
small,50,42,0.3,0.3,0.09,0.1899215472189417,1,0.11602030179294776,1,0.32204062436078745,1,0.09158565242523743,1,,,,,,
small,50,43,0.3,0.3,0.09,0.01543057967162988,0,0.16160701694982899,1,-0.010237696256141814,0,0.16915953016818377,1,,,,,,
small,50,44,0.3,0.3,0.09,0.19995247876749675,1,0.004977546499688151,0,0.2569396875168303,1,0.12826608932701763,1,,,,,,
