scenario,N,cs_b1_bias,cs_b1_cov,lv_b1_bias,lv_b1_cov,lap_b1_bias,lap_b1_cov,cs_b2_bias,cs_b2_cov,lv_b2_bias,lv_b2_cov,lap_b2_bias,lap_b2_cov,lap_ind_power
medium,50,-0.0855743181177694,0.9,0.026208962203294293,0.94,,,-0.03397968438452485,0.92,-0.0269618346735857,0.92,,,
medium,86,-0.12938741631158346,0.84,-0.018495507757171487,1.0,,,-0.022801233439326173,0.98,-0.00231299756008176,0.94,,,
medium,100,-0.1236200671586131,0.8,-0.02634095231008999,0.98,,,-0.008560972351716519,0.94,0.003812842090359595,0.96,,,
medium,150,-0.10063850487624368,0.86,-0.0013198211810556005,0.94,,,-0.029650931983863687,0.88,-0.018215777528803864,0.96,,,
medium,200,-0.11262029774112442,0.64,-0.016772501625979555,0.92,,,-0.012235157859149864,0.94,0.010092245758324242,0.94,,,
medium,300,-0.09323395603142524,0.66,0.010334129185297199,0.98,,,-0.02359527546009831,0.92,0.009143493797920009,0.9,,,
small,50,-0.06413973185444938,0.88,-0.0020690777947583215,0.88,,,-0.06297071617298108,0.94,-0.031168571630346763,0.94,,,
small,86,-0.02930986242917789,0.96,0.010845310590658826,0.9,,,-0.04804896557685487,0.9,-0.01709612364067463,0.92,,,
small,100,-0.05531637860832683,0.98,-0.012041073591916564,0.96,,,0.004540059553061065,0.9,0.03142117776388435,0.94,,,
small,150,-0.0604305315143141,0.9,-0.006650860331429119,0.96,,,-0.03939297040531189,0.9,-0.012302561142457653,0.94,,,
small,200,-0.031340881962058774,0.94,0.022277669909717954,0.98,,,-0.02434392325119518,1.0,0.007522137413383834,0.94,,,
small,300,-0.04813522817808802,0.88,0.010740483005096531,0.96,,,-0.016002017088872205,0.94,0.008414352715419742,0.94,,,
